orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
3.9886021,1.7376,34.39,673.5,13.652,4813.0,candidate
16.080657264,2.8701,4.43,3076.0,0.817,5303.0,confirmed
5.0648278,4.321,13.6307,9920.0,1.34,6411.0,candidate
59.4037839,10.041,1.65,123.5,1.209,6373.0,candidate
4.6071277,2.266,10.6145,17579.0,0.82,4928.0,candidate
4.159816554,1.6261,0.86,160.3,0.639,4499.0,confirmed
11.39096852897,,11.19847412,,0.875936,5027.0,confirmed
1.559360638,5.4458,94.2,280070.0,1.488,7002.0,false_positive
4.2050741,1.1574129,3.3240452,1280.1793986,0.877822,5086.0,candidate
43.204596783,15.0402,43.15,202490.0,0.932,6003.0,false_positive
0.905037231,1.4351,1.1,37.5,1.763,6223.0,false_positive
0.94102954,4.415,1.41,34.5,2.409,5766.0,false_positive
183.836254,13.088,51.64,1046.2,11.963,4959.0,false_positive
8.2500143,3.317,11.8684,2250.0,1.59,7386.5,candidate
11.5922513,3.4868947,2.4230886,373.1625573,1.19407,6311.0,candidate
3.1393226,,15.43,,1.5,6283.0,candidate
7.4507305,0.475,3.04528,1542.0,0.31,3469.0,confirmed
1.62263,1.555,4.33692,1630.0,1.01,5016.1,false_positive
11.5743561,6.0493763,18.1309835,14285.1321998,1.4578,5776.0,candidate
18.6300789,3.4,3.01483,1620.0,0.75,4092.4,candidate
3.5018023,3.917956,22.103526,16196.191206,1.66889,6383.9,apc
1.3955317,2.62,10.461,960.0,3.29,4957.2,false_positive
3.5533716,1.856,4.6477,1470.0,1.21,6280.9,candidate
11.5379235,3.661,3.827,1405.0,1.01,5835.0,candidate
8.7094632,3.027,20.9625,4510.0,1.59,5597.0,confirmed
6.89226333,2.4921,2.13,214.4,1.463,5862.0,confirmed
25.0577354,4.741,5.30323,3500.0,0.87,5954.0,candidate
3.4742682,2.577,12.8496,9883.0,1.34,6121.0,candidate
41.0175174,8.2090013,2.4013155,229.2846536,1.4608001,6988.0,candidate
6.6314357,2.5431694,13.188691,10550.9077716,1.07899,5752.2,candidate
434.28175,8.14,1.94,663.1,0.75,5544.0,candidate
1.9495403,0.8060618,1.3929217,2089.2444115,0.260187,3414.0,confirmed
3.4716808,1.3816978,8.027234,30624.6434599,0.426785,3399.0,confirmed
276.879492,3.779,11.67,1762.0,0.966,5324.0,candidate
3.7804749,3.615,17.9247,22150.0,0.81,5112.0,false_positive
5.3073459,3.714,2.05347,200.0,1.42,5821.4,false_positive
34.6506368,10.287,12.35,502.5,4.185,6681.0,false_positive
0.773595312,0.781,0.96,93.0,0.935,5973.0,false_positive
11.3775281,12.918,82.26,1651.3,1.66,6943.0,false_positive
223.1127475,8.9683,46.33,11539.0,1.056,6211.0,false_positive
31.70603,,2.727,,1.273,6320.0,confirmed
5.78542702,2.271,1.91,256.2,1.178,6555.0,false_positive
11.63344,,9.52763359,,1.669,5537.0,confirmed
27.40229859,6.8491,3.63,747.5,1.324,6198.0,confirmed
26.672263,,1.99552771,,1.077574,5890.0,confirmed
12.4610086,3.3195777,3.2809492,2078.1425981,0.726632,4891.0,confirmed
2.3467263,4.2923576,15.2126883,6652.2691917,1.78044,6121.8,candidate
3.6092665,2.376,6.6756,6975.0,0.79,4823.0,candidate
11.8885643,2.567,19.2143,35450.0,0.75,4427.0,false_positive
9.6477019,3.003,2.57133,670.0,0.95,5621.7,candidate
8.0103929,4.2713,1.88,294.1,1.111,5616.0,confirmed
26.2588239,4.4279477,2.0533305,251.0105068,1.24841,5908.0,fa
7.1404043,1.719,10.5731,8300.0,1.11,5886.6,false_positive
7.66462913,3.614,1.6,114.1,1.515,5640.0,candidate
8.58600968,3.3443,1.84,102.1,1.689,6167.0,confirmed
